country_code,value,total,areas,nodes,ways,relations
SI,parking,5827,0,1066,4737,24
SI,place_of_worship,2089,0,458,1621,10
SI,school,896,0,124,760,12
SI,bench,1489,0,1489,0,0
SI,restaurant,1680,0,1010,667,3
SI,fuel,573,0,60,510,3
SI,cafe,984,0,730,252,2
SI,fast_food,232,0,168,64,0
SI,bank,278,0,234,44,0
SI,waste_basket,280,0,280,0,0
SI,post_box,243,0,243,0,0
SI,pharmacy,216,0,171,44,1
SI,bicycle_parking,187,0,185,2,0
SI,toilets,179,0,158,20,1
SI,kindergarten,333,0,89,238,6
SI,recycling,168,0,149,19,0
SI,shelter,167,0,118,49,0
SI,grave_yard,365,0,16,348,1
SI,drinking_water,470,0,469,1,0
SI,post_office,326,0,229,96,1
SI,pub,303,0,239,64,0
SI,bar,591,0,429,161,1
SI,hospital,135,0,29,102,4
SI,atm,506,0,505,1,0
SI,parking_space,90,0,6,83,1
SI,police,98,0,38,58,2
SI,hunting_stand,744,0,743,1,0
SI,vending_machine,153,0,153,0,0
SI,telephone,118,0,117,1,0
SI,townhall,90,0,41,49,0
SI,fire_station,553,0,122,431,0
SI,fountain,97,0,74,23,0
SI,public_building,64,0,15,49,0
SI,doctors,137,0,41,95,1
SI,community_centre,102,0,54,47,1
SI,library,98,0,59,38,1
SI,clinic,17,0,8,9,0
SI,social_facility,82,0,10,68,4
SI,car_wash,142,0,75,67,0
SI,dentist,57,0,45,11,1
SI,waste_disposal,41,0,24,17,0
SI,marketplace,27,0,8,19,0
SI,bus_station,76,0,55,21,0
SI,university,75,0,15,58,2
SI,college,7,0,1,6,0
SI,parking_entrance,69,0,67,2,0
SI,swimming_pool,38,0,5,33,0
SI,theatre,40,0,19,21,0
SI,taxi,12,0,12,0,0
SI,veterinary,42,0,19,23,0
