country,GDP,GNI,Population
Austria,50551.5531751991,44469.8031146081,8731471.0
Belgium,46428.6714245837,42367.9930386717,11338476.0
Bulgaria,19242.6226157385,17758.4152023187,7127822.0
Croatia,23422.4179765285,20797.3602550193,4174349.0
Cyprus,32707.8728870037,30842.9083523856,1170125.0
Czech Republic,34749.2123632656,29279.6818892063,10566332.0
Denmark,49029.0148389124,47160.2931545042,5728010.0
Estonia,29743.3374280246,27553.1254331325,1315790.0
Finland,43378.1460288181,39977.4067049996,5495303.0
France,41343.2925355429,38680.1378116569,66892205.0
Germany,48860.5252921132,45126.5045991406,82487842.0
Greece,26778.5049658874,24351.514961944,10770521.0
Hungary,26700.7560826351,,9814023.0
Iceland,50745.682977113,,335439.0
Ireland,71472.2959648651,52265.0088918708,4749777.0
Italy,38380.1724117843,34733.371695865,60627498.0
Latvia,25587.3880884729,23686.0018115911,1959537.0
Liechtenstein,,,37666.0
Lithuania,29862.3188904098,26882.8750819061,2868231.0
Luxembourg,102389.437727633,64246.6447095016,582014.0
Malta,37928.3412686642,33580.4089561566,437418.0
Netherlands,50538.6065695989,46712.0673055191,17030314.0
Norway,58790.0614038949,67034.2561170734,5236151.0
Poland,27383.2549370049,24981.5439189322,37970087.0
Portugal,30658.6319953306,26519.6713876007,10325452.0
Romania,23027.2892643944,20939.9186789669,19699312.0
Slovakia,30460.3840810744,28803.2954168027,5430798.0
Slovenia,32723.0719537641,29082.5031360802,2065042.0
Spain,36304.8542727475,33306.3656017245,46484533.0
Sweden,48904.5543707155,47310.5639290826,9923085.0
Switzerland,63888.7323866538,57955.1207455442,8372413.0
United Kingdom,42656.2166021995,38680.0673701755,65595565.0
